1	3
2	2
3	2
4	2
5	2
6	2
7	3
8	2
9	2
10	2
11	3
12	2
13	2
14	2
15	2
16	3
17	2
18	2
19	2
20	3
21	2
22	2
23	2
24	2
25	2
26	2
27	2
28	2
29	2
30	2
31	3
32	3
33	2
34	2
35	2
36	3
37	2
38	2
39	2
40	2
41	2
42	2
43	3
44	2
45	2
46	2
47	2
48	2
49	3
50	2
51	2
52	3
53	2
54	3
55	3
56	2
57	3
58	2
59	3
60	2
61	2
62	2
63	2
64	1
65	2
66	3
67	2
68	2
69	2
70	2
71	3
72	2
73	2
74	2
75	2
76	2
77	2
78	2
79	2
80	2
81	2
82	2
83	3
84	2
85	3
86	2
87	2
88	2
89	3
90	2
91	2
92	3
93	2
94	2
95	2
96	2
97	2
98	3
99	2
100	3
101	2
102	2
103	2
104	2
105	2
106	3
107	3
108	2
109	2
110	2
111	2
112	3
113	2
114	3
115	3
116	2
117	2
118	2
119	1
120	2
121	3
122	2
123	3
124	2
125	2
126	2
127	3
128	2
129	3
130	2
131	2
132	2
133	2
134	2
135	2
136	2
137	3
138	2
139	3
140	2
141	3
142	2
143	2
144	2
145	2
146	2
147	2
148	2
149	3
150	3
151	2
152	2
153	2
154	2
155	2
156	2
157	2
158	2
159	2
160	3
161	2
162	2
163	3
164	2
165	2
166	2
167	2
168	2
169	2
170	2
171	2
172	3
173	2
174	3
175	2
176	2
177	2
178	2
179	2
180	2
181	2
182	3
183	2
184	3
185	3
186	3
187	2
188	2
189	2
190	3
191	2
192	2
193	2
194	2
195	2
196	2
197	2
198	3
199	2
200	3
201	2
202	3
203	2
204	2
205	3
206	2
207	2
208	3
209	3
210	3
211	2
212	2
213	2
214	3
215	2
216	3
217	2
218	2
219	2
220	2
221	3
222	2
223	2
224	2
225	2
226	2
227	2
228	3
229	2
230	2
231	3
232	2
233	2
234	3
235	2
236	2
237	2
238	3
239	2
240	3
241	3
242	3
243	3
244	2
245	2
246	2
247	2
248	3
249	3
250	2
251	2
252	3
253	3
254	2
255	2
256	3
257	2
258	2
259	1
260	2
261	2
262	2
263	2
264	3
265	2
266	2
267	2
268	3
269	2
270	2
271	2
272	2
273	3
274	2
275	3
276	2
277	2
278	2
279	2
280	3
281	2
282	2
283	2
284	3
285	2
286	2
287	2
288	2
289	3
290	3
291	3
292	2
293	2
294	2
295	2
296	2
297	1
298	2
299	2
300	2
301	2
302	2
303	2
304	3
305	2
306	2
307	2
308	3
309	2
310	2
311	3
312	2
313	3
314	3
315	2
316	2
317	3
318	3
319	3
320	2
321	2
322	2
323	3
324	2
325	3
326	2
327	2
328	2
329	2
330	2
331	2
332	2
333	2
334	2
335	2
336	2
337	2
338	3
339	2
340	2
341	3
342	2
343	2
344	2
345	2
346	3
347	2
348	2
349	3
350	3
351	3
352	3
353	3
354	2
355	2
356	2
357	2
358	2
359	2
360	2
361	2
362	3
363	2
364	2
365	2
366	2
367	2
368	2
369	2
370	1
371	2
372	2
373	2
374	3
375	2
376	2
377	2
378	3
379	3
380	2
381	2
382	2
383	2
384	3
385	2
386	2
387	3
388	2
389	3
390	3
391	3
392	2
393	2
394	2
395	2
396	2
397	2
398	2
399	3
400	2
401	3
402	2
403	2
404	2
405	2
406	2
407	3
408	2
409	3
410	3
411	3
412	2
413	2
414	2
415	2
416	2
417	2
418	2
419	2
420	2
421	3
422	2
423	2
424	2
425	2
426	2
427	2
428	2
429	3
430	2
431	3
432	2
433	2
434	3
435	3
436	2
437	2
438	2
439	2
440	2
441	2
442	2
443	2
444	2
445	2
446	3
447	2
448	2
449	3
450	2
451	2
452	3
453	2
454	2
455	2
456	3
457	2
458	2
459	2
460	2
461	2
462	2
463	2
464	2
465	3
466	3
467	3
468	2
469	3
470	2
471	2
472	2
473	2
474	2
475	3
476	2
477	2
478	2
479	2
480	2
481	2
482	2
483	2
484	2
485	2
486	3
487	3
488	2
489	2
490	2
491	2
492	2
493	2
494	2
495	2
496	2
497	2
498	2
499	2
500	2
